label,message
ham,Hi how are you
spam,WINNER!! You have won a free ticket. Call now!
ham,Are we meeting today?
spam,Congratulations! You have been selected for a cash prize
ham,Please call me when you are free
spam,Free entry in a weekly competition to win cash
ham,Let's have lunch tomorrow
spam,URGENT! Your account has been compromised. Verify now
ham,Can you send the report by evening?
spam,Claim your free voucher now
ham,See you at the office tomorrow
spam,You have been chosen to receive a $1000 gift card
ham,What time does the meeting start?
spam,Call now to claim your free holiday package
ham,I will be late today
spam,Win a brand new iPhone by clicking this link
ham,Can we reschedule for Friday?
spam,Exclusive deal just for you, limited time offer
ham,Please review the attached document
spam,Your SIM has been suspended call us immediately
ham,Thanks for the update
spam,Click here to unsubscribe and get a special reward
ham,Dinner plans for tonight?
spam,You are pre-approved for a $5000 loan
ham,I finished the task you assigned
spam,FREE access to premium content, sign up now
ham,Running a bit late, be there in 10
spam,Alert your bank account needs verification call now
ham,Happy birthday! Hope you have a great day
spam,Congratulations you won a lottery claim now
ham,Do you want to grab coffee this afternoon?
spam,Limited offer buy now and get 50 percent off
ham,Let me know when you are available
spam,Your parcel is on hold please confirm your details
ham,I sent you the files via email
spam,You have a pending reward click to collect
ham,Good morning hope you slept well
spam,FREE ringtones for your mobile download now
ham,Are you joining us for the team lunch?
spam,Double your income working from home call now
ham,Just checking in on how you are doing
spam,You have been selected for a special promotion
ham,See the report I attached earlier
spam,Claim your prize before it expires today
ham,Can you help me with this task?
spam,You are a winner in our monthly draw
ham,I will send you the details shortly
spam,Get out of debt now with our special plan
ham,How was your weekend?
spam,This is a final notice to claim your reward
ham,The project deadline has been moved to next week
spam,Free trial offer expires tonight act now
ham,Please confirm your attendance for the event
spam,Your mobile number has won a prize contact us
ham,I agree with your suggestions
spam,Earn cash from home no experience needed
ham,Talk later I am in a meeting
spam,Exclusive invitation apply now before it is too late
ham,The files are ready for review
spam,You qualify for a special discount call immediately
